Company Name,Symbol,Sector,Dividend
ATAC Resources Ltd.,ATC.V,Basic Materials,0
Altai Resources Inc,ATI.V,Energy,0
Altaley Mining Corporation,ATLY.V,Basic Materials,0
Altura Energy Inc.,ATU.V,Energy,0
ATW Tech Inc.,ATW.V,Technology,0
ATEX Resources Inc.,ATX.V,Basic Materials,0
Atico Mining Corporation,ATY.V,Basic Materials,0
Aurion Resources Ltd,AU.V,Basic Materials,0
Allegiant Gold Ltd.,AUAU.V,Basic Materials,0
Goldplay Mining Inc.,AUC.V,Basic Materials,0
Golden Sky Minerals Corp.,AUEN.V,Basic Materials,0
Au Gold Corp.,AUGC.V,Basic Materials,0
Aumento Capital IX Corp.,AUIX.P.V,sector not available!,0
Aurelius Minerals Inc.,AUL.V,Basic Materials,0
1911 Gold Corporation,AUMB.V,Basic Materials,0
Aurcana Silver Corporation,AUN.V,Basic Materials,0
AuQ Gold Mining Inc.,AUQ.V,Basic Materials,0
Carbeeza Inc.,AUTO.V,sector not available!,0
Gold79 Mines Ltd.,AUU.V,Basic Materials,0
Avricore Health Inc.,AVCR.V,Healthcare,0
Avidian Gold Corp.,AVG.V,Basic Materials,0
Antera Ventures II Corp.,AVII.P.V,sector not available!,0
Avanti Energy Inc.,AVN.V,Energy,0
Avrupa Minerals Ltd.,AVU.V,Basic Materials,0
Altair Resources Inc.,AVX.V,Basic Materials,0
Thunderstruck Resources Ltd.,AWE.V,Basic Materials,0
Advent-AWI Holdings Inc.,AWI.V,Consumer Cyclical,0.2
Arcwest Exploration Inc.,AWX.V,Basic Materials,0
Acceleware Ltd.,AXE.V,Technology,0
Axis Auto Finance Inc.,AXIS.V,Financial Services,0
Arrow Exploration Corp.,AXL.V,Energy,0
AXMIN Inc.,AXM.V,Basic Materials,0
A2Z Smart Technologies Corp.,AZ.V,Industrials,0
Azimut Exploration Inc.,AZM.V,Basic Materials,0
Azarga Metals Corp.,AZR.V,Basic Materials,0
Arizona Silver Exploration Inc.,AZS.V,Basic Materials,0
Aztec Minerals Corp.,AZT.V,Basic Materials,0
BCM Resources Corporation,B.V,Basic Materials,0
Else Nutrition Holdings Inc.,BABY.V,Consumer Defensive,0
Blende Silver Corp.,BAG.V,sector not available!,0
Baru Gold Corp.,BARU.V,Basic Materials,0
Batero Gold Corp,BAT.V,Basic Materials,0
Blue Star Gold Corp.,BAU.V,Basic Materials,0
Aston Bay Holdings Ltd.,BAY.V,Basic Materials,0
Brixton Metals Corporation,BBB.V,Basic Materials,0
Builders Capital Mortgage Corp.,BCF.V,Financial Services,0.798
Bear Creek Mining Corporation,BCM.V,Basic Materials,0
BriaCell Therapeutics Corp.,BCT.V,Healthcare,0
Bell Copper Corporation,BCU.V,Basic Materials,0
Boundary Gold and Copper Mining Ltd.,BDGC.V,Basic Materials,0
Belmont Resources Inc.,BEA.V,Basic Materials,0
Hill Street Beverage Company Inc.,BEER.V,Consumer Defensive,0
Braille Energy Systems Inc.,BES.V,Industrials,0
BeWhere Holdings Inc.,BEW.V,Technology,0
Benton Resources Inc.,BEX.V,Basic Materials,0
BioNeutra Global Corporation,BGA.V,Consumer Defensive,0
Bullion Gold Resources Corp.,BGD.V,Basic Materials,0
Beauce Gold Fields Inc.,BGF.V,Basic Materials,0
Baroyeca Gold & Silver Inc.,BGS.V,Basic Materials,0
Bayhorse Silver Inc.,BHS.V,Basic Materials,0
Braveheart Resources Inc.,BHT.V,Basic Materials,0
Bald Eagle Gold Corp.,BIG.V,Basic Materials,0
BuildDirect.Com Technologies Inc.,BILD.V,sector not available!,0
Bitfarms Ltd.,BITF.V,Crypto,0
Blockchaink2 Corp.,BITK.V,Financial Services,0
Pacific Booker Minerals Inc.,BKM.V,Basic Materials,0
Blockmint Technologies Inc.,BKMT.V,Financial Services,0
BluMetric Environmental Inc.,BLM.V,Industrials,0
GlobalBlock Digital Asset Trading Limited,BLOK.V,Technology,0
Baltic I Acquisition Corp.,BLTC.P.V,sector not available!,0
Blue Thunder Mining Inc.,BLUE.V,Basic Materials,0
Barsele Minerals Corp.,BME.V,Basic Materials,0
Bemetals Corp.,BMET.V,Basic Materials,0
BMEX Gold Inc.,BMEX.V,Basic Materials,0
Black Mountain Gold USA Corp.,BMG.V,Basic Materials,0
BMGB Capital Corp.,BMGB.P.V,sector not available!,0
MacDonald Mines Exploration Ltd.,BMK.V,Basic Materials,0
Black Mammoth Metals Corporation,BMM.V,Basic Materials,0
Battery Mineral Resources Corp.,BMR.V,Basic Materials,0
Bathurst Metals Corp.,BMV.V,Basic Materials,0
Benchmark Metals Inc.,BNCH.V,Basic Materials,0
Banxa Holdings Inc.,BNXA.V,Technology,0
Bonanza Mining Corporation,BNZ.V,sector not available!,0
The Limestone Boat Company Limited,BOAT.V,Consumer Cyclical,0
Bold Ventures Inc.,BOL.V,Basic Materials,0
Bold Capital Enterprises Ltd.,BOLD.P.V,sector not available!,0
Backstageplay Inc.,BP.V,Communication Services,0
BQE Water Inc.,BQE.V,Industrials,0
Big Ridge Gold Corp.,BRAU.V,Basic Materials,0
Blackrock Silver Corp.,BRC.V,Basic Materials,0
Brachium2 Capital Corp.,BRCB.P.V,sector not available!,0
Brigadier Gold Limited,BRG.V,Basic Materials,0
Biorem Inc.,BRM.V,Industrials,0
Barksdale Resources Corp.,BRO.V,Basic Materials,0
Brunswick Exploration Inc.,BRW.V,Basic Materials,0
Bearing Lithium Corp.,BRZ.V,Basic Materials,0
Bayshore Petroleum Corp,BSH.V,Energy,0
Blue Sky Uranium Corp.,BSK.V,Energy,0
Bluestone Resources Inc.,BSR.V,Basic Materials,0
Bessor Minerals Inc.,BST.V,Basic Materials,0
Bitcoin Well Inc.,BTCW.V,sector not available!,0
Bioasis Technologies Inc.,BTI.V,Healthcare,0
Bonterra Resources Inc.,BTR.V,Basic Materials,0
Bitterroot Resources Ltd.,BTT.V,Basic Materials,0
BTU Metals Corp.,BTU.V,Basic Materials,0
Bluerush Inc.,BTV.V,Technology,0
Satori Resources Inc.,BUD.V,Basic Materials,0
Buffalo Coal Corp.,BUF.V,Energy,0
Buzz Capital 2 Inc.,BUZH.P.V,sector not available!,0
Bravada Gold Corporation,BVA.V,Basic Materials,0
Blackwolf Copper and Gold Ltd.,BWCG.V,Basic Materials,0
Boardwalktech Software Corp.,BWLK.V,Technology,0
BWR Exploration Inc.,BWR.V,Basic Materials,0
Blue River Resources Ltd.,BXR.V,Basic Materials,0
Banyan Gold Corp.,BYN.V,Basic Materials,0
Benz Mining Corp.,BZ.V,Basic Materials,0
BuzBuz Capital Corp.,BZBZ.P.V,sector not available!,0
Contact Gold Corp.,C.V,Basic Materials,0
Colonial Coal International Corp,CAD.V,Basic Materials,0
Canaf Investments Inc.,CAF.V,Basic Materials,0.1
Composite Alliance Group Inc.,CAG.V,Industrials,0
Central African Gold Inc.,CAGR.V,Basic Materials,0
Canadabis Capital Inc.,CANB.V,Healthcare,0
Candelaria Mining Corp.,CAND.V,Basic Materials,0
Wildpack Beverage Inc.,CANS.V,Industrials,0
Canex Metals Inc.,CANX.V,Basic Materials,0
Castle Peak Mining Ltd.,CAP.V,Basic Materials,0
Capitan Mining Inc.,CAPT.V,Basic Materials,0
CASA Minerals Inc.,CASA.V,Basic Materials,0
Camrova Resources Inc.,CAV.V,Basic Materials,0
Champion Bear Resources Ltd.,CBA.V,Basic Materials,0
Castlebar Capital Corp.,CBAR.P.V,sector not available!,0
Chibougamau Independent Mines Inc.,CBG.V,Basic Materials,0
Colibri Resource Corporation,CBI.V,Basic Materials,0
CBLT Inc.,CBLT.V,Basic Materials,0
Clear Blue Technologies International Inc.,CBLU.V,Technology,0
Cabral Gold Inc.,CBR.V,Basic Materials,0
Cobra Venture Corporation,CBV.V,Energy,0
Cross Border Capital I Inc.,CBX.P.V,sector not available!,0
